"Zeitstempel","Welchem Geschlecht gehörst du an?","In welchem Stammkurs bist du? FORMAT beachten! z. B.: 23en1","Nimmst du am Sozialkundeunterricht teil?","Falls du in der 11. Klasse bist, und keinen Sozialkundeunterricht mehr hast: Wieso hast du Sozialkunde abgewählt?","Ich würde sagen, ich interessiere mich für Politik","Ich mache mir Gedanken darüber, wie ich Probleme in meinem Umfeld lösen kann","Ich interessiere mich für Wahlen (regional; auf Bundesebene; international)","Mich interessiert die Arbeit der Bundesregierung","Mich interessieren Nachrichtenbeiträge über Politik (Befragungen, politische Krisen, (Wahl)-Analysen...)","These: ""Die Entscheidungen von Politikern haben einen großen Einfluss auf mein Leben. Ich sollte mich deshalb über politische Entscheidungen informieren und selbst politisch aktiv sein. ""(z.B. Demonstrationen, Petitionen, Gespräche mit Mitmenschen)","These: ""Ich überlasse die Beschäftigung mit politischen Problemen lieber den Politikern.""","Wenn morgen Bundestagswahl wäre, und du wählen dürftest: wie wahrscheinlich wäre es, dass du deine Stimme abgibst?","Wer ist in Deutschland berechtigt, die Bundestagsabgeordneten zu wählen?","Wer ist der ranghöchste Repräsentant der Bundesrepublik Deutschland?","Auf wie viele Jahre werden die Bundestagabgeordneten gewählt?","Kreuze die Institutionen an, die bei dem Gesetzgebungsprozess von der Initiative bis zur Gegenzeichnung beteiligt sind / sein können.","Welche von diesen Aufgaben haben die Landesregierungen?","Wie werden die Richter des Bundesverfassungsgerichts gewählt und auf welche Zeit?","Wer war von 2005 bis 2021 Bundeskanzler der BRD","Wer wählt den Bundespräsidenten?","Wer wählt den Bundestagspräsidenten?","Wer ist aktuell Bundespräsident?","Kreuze die Aufgaben an, die der Bundespräsident hat.","Kreuze die Aufgaben des Bundesverfassungsgerichts an.","Kreuze die Aufgaben des Bundeskanzlers an.","Kreuze die Aufgaben an, die der Bundestag hat.","Kreuze die Aufgaben an, die der Bundesrat hat.","Nach welchem Prinzip ist das politische System auf Bundesebene aufgebaut?","Welche der genannten Themen hast du im Sozialkundeunterricht bisher behandelt?","Für welches dieser Themen hast du dich am meisten interessiert?","Wieso hast du dich für dieses Thema am meisten interessiert?","Würdest du sagen, dass du insgesamt an bisher behandelten Themen interessiert warst?","Wenn du angegeben hast uninteressiert zu sein, woran könnte dies deiner Meinung nach liegen?","Über welche anderen Themen hättest du in Sozialkunde gerne ausführlicher gesprochen?","Bitte gib an, für welches dieser politischen Themen du dich allgemein interessierst.","Welche anderen Themen hattest du dir im Zusammenhang mit dem Sozialkundeunterricht an deiner Schule gewünscht? ","Denkst du, dass man das Interesse an Politik innerhalb der Klasse steigern könnte, wenn man auf persönliche Interessen der Schüler mehr eingehen würde?","Fühlst du dich auf deine politische Aktivität (z.B. wählen gehen) in Zukunft durch den Politikunterricht in der Schule gut vorbereitet?","Falls nein, bitte gib an, woran es liegen könnte, dass du dich unvorbereitet fühlst.","Denkst du, dass es bei deiner zukünftigen Wahlentscheidung nötig sein wird, sich über das politische System Deutschlands erneut zu informieren? (Trotz des Sozialkundeunterrichts)","Denkst du, dass der Politikunterricht an deiner Schule dein Interesse an Politik gestärkt hat?"
"2022/06/23 11:55:05 AM OEZ","Männlich","23De2","Ja","","4","4","5","4","4","5","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Ernennt den Bundeskanzler","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Gesetzesinitiative;Abwahl des Bundeskanzlers","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Kriege und Konflikte","Alltagsorientiert und bisher nicht gewusst","Nein, eher uninteressiert","Unterrichtsinhalte nicht aktuell genug;Unterrichtsinhalte zu theoretisch;Unterrichtsgestaltung zu monoton","Parteien, weg eines Gesetzes und Wahlen ","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte","Mehr aktuelle Konflikte und politische meinungen","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","Nach der 9. Klasse vergisst man das meiste. Man müsste den Unterricht alltagsrelevanter und spannender gestalten","Ja, definitiv","Nein, eher nicht"
"2022/06/24 9:39:47 AM OEZ","Männlich","23de2","Ja","","5","4","4","3","3","2","3","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,- Kollegial,- Ressortprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Sozialisation","Kriege und Konflikte","Weil es relevant ist","Ja, sehr interessiert","","","Kriege und Konflikte;Das Entstehen einer Diktatur","","Eher ja","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Nein, eher nicht"
"2022/06/24 9:46:17 AM OEZ","Männlich","23DE2","Ja","","3","3","4","3","4","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundesregierung;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Frank-Walter Steinmeier","Vorschlagen der Bundesminister;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages","Gesetzesinitative","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Europäische Union","Gesellschaft im Wandel: Von der DDR zu den neuen Bundesländern","Entwicklung interessiert mich","Nein, eher uninteressiert","Unterrichtsinhalte zu theoretisch;Unterrichtsgestaltung zu monoton","","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","Zuviel Theorie, Unterricht nicht gut gestaltet ","Ja, definitiv","Neutral"
"2022/06/24 9:46:23 AM OEZ","Männlich","23De2","Nein","Weil ich Wirtschaft und Recht für mein weiteres Leben mehr brauche ","3","5","3","4","4","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Gesetzesinitative","Abwahl des Bundeskanzlers","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Europäische Union","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","War spannend ","Ja, eher interessiert","","","Verfassung der BRD;Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Nein, eher nicht"
"2022/06/24 9:51:53 AM OEZ","Weiblich","23de2","Nein","Wegen Herr Starkloff","3","5","2","2","2","4","3","2","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","6 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Olaf Scholz","Vorschlagen der Bundesminister;Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Globalisierung;Europäische Union","Gesellschaft im Wandel: Von der DDR zu den neuen Bundesländern","Ich interessiere mich für die BRD","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","","Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Eher nein","Nein, Ich bin nicht vorbereitet z.B. eine Wahlentscheidung zu treffen","","Ja, definitiv","Nein, eher nicht"
"2022/06/24 9:52:37 AM OEZ","Männlich","22De2","Nein","Kein Interesse, wr beste ","4","5","4","4","5","3","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesregierung;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Gesellschaft im Wandel: Von der DDR zu den neuen Bundesländern;Kriege und Konflikte;Globalisierung;Europäische Union;Umweltschutz als politisches Problem","Kriege und Konflikte","Krieg halt","Neutral","","","Kriege und Konflikte","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Nein, eher nicht"
"2022/06/24 11:31:02 AM OEZ","Männlich","23de2","Nein","Es war mir egal ob ich Wr oder Sozi mache","4","4","1","2","5","3","2","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesversammlung;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Kontrolle der Regierung","Mitwirken in auswärtigen Angelegenheiten;Abwahl des Bundeskanzlers","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Globalisierung;Europäische Union","Kriege und Konflikte","Konflikte sind die faszinierendste Form der Aussenpolitik ","Ja, eher interessiert","","","Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Neutral"
"2022/06/24 12:47:23 PM OEZ","Weiblich","23De2","Ja","","2","4","4","4","3","4","3","3","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundestag;Bundesrat","Sie bestimmen zur Hälfte die Mitglieder des Bundestages","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundespräsident bestimmt ihn","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte;Globalisierung;Europäische Union;Sozialisation, Lobbyismus, Pluralismus, Gesellschaftsschichten","Globalisierung","ist halt so","Neutral","","","Kriege und Konflikte","","Eher ja","Nein, Ich fühle mich eher unvorbereitet","","Ja, wahrscheinlich","Nein, eher nicht"
"2022/06/24 2:03:03 PM OEZ","Weiblich","23De2","Ja","","4","4","4","3","4","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus;Löst den Bundestag auf","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Kontrolle der Regierung;Wahl des Bundeskanzlers","Gesetzesinitiative","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Gesellschaft im Wandel: Von der DDR zu den neuen Bundesländern;Globalisierung","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Ist mir am wichtigsten, weil es uns am meisten beeinflusst ","Ja, eher interessiert","","Ukraine Krieg / generell Kriege ","Politische Parteien in Deutschland;Kriege und Konflikte","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Nein, eher nicht","Neutral"
"2022/06/24 3:35:54 PM OEZ","Weiblich","23de2","Nein","Unterrichtsweise","3","4","4","2","5","5","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Grundgesetz der BRD;Kriege und Konflikte;Europäische Union","Umweltschutz als politisches Problem","betrifft heutige Generation","Neutral","Unterrichtsinhalte nicht aktuell genug;Unterrichtsgestaltung zu monoton","Umweltschutz, politisches Mitwirken als Jugendlicher","Wahlen in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur;Politische Prozesse außerhalb Deutschlands","Umwelt, Gesellschaftlich aktuelle Themen (z.B. LGBTQI+)","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","","Ja, definitiv","Nein, definitiv nicht"
