"Zeitstempel","Welchem Geschlecht gehörst du an?","Ich würde sagen, ich interessiere mich für Politik","Ich mache mir Gedanken darüber, wie ich Probleme in meinem Umfeld lösen kann","Ich interessiere mich für Wahlen (regional; auf Bundesebene; international)","Mich interessiert die Arbeit der Bundesregierung","Mich interessieren Nachrichtenbeiträge über Politik (Befragungen, politische Krisen, (Wahl)-Analysen...)","These: ""Die Entscheidungen von Politikern haben einen großen Einfluss auf mein Leben. Ich sollte mich deshalb über politische Entscheidungen informieren und selbst politisch aktiv sein. ""(z.B. Demonstrationen, Petitionen, Gespräche mit Mitmenschen)","These: ""Ich überlasse die Beschäftigung mit politischen Problemen lieber den Politikern.""","Wenn morgen Bundestagswahl wäre, und du wählen dürftest: wie wahrscheinlich wäre es, dass du deine Stimme abgibst?","Wer ist in Deutschland berechtigt, die Bundestagsabgeordneten zu wählen?","Wer ist der ranghöchste Repräsentant der Bundesrepublik Deutschland?","Auf wie viele Jahre werden die Bundestagabgeordneten gewählt?","Kreuze die Institutionen an, die bei dem Gesetzgebungsprozess von der Initiative bis zur Gegenzeichnung beteiligt sind / sein können.","Welche von diesen Aufgaben haben die Landesregierungen?","Wie werden die Richter des Bundesverfassungsgerichts gewählt und auf welche Zeit?","Wer war von 2005 bis 2021 Bundeskanzler der BRD","Wer wählt den Bundespräsidenten?","Wer wählt den Bundestagspräsidenten?","Wer ist aktuell Bundespräsident?","Kreuze die Aufgaben an, die der Bundespräsident hat.","Kreuze die Aufgaben des Bundesverfassungsgerichts an.","Kreuze die Aufgaben des Bundeskanzlers an.","Kreuze die Aufgaben an, die der Bundestag hat.","Kreuze die Aufgaben an, die der Bundesrat hat.","Nach welchem Prinzip ist das politische System auf Bundesebene aufgebaut?","Welche der genannten Themen hast du im Sozialkundeunterricht bisher behandelt?","Für welches dieser Themen hast du dich am meisten interessiert?","Wieso hast du dich für dieses Thema am meisten interessiert?","Würdest du sagen, dass du insgesamt an bisher behandelten Themen interessiert warst?","Wenn du angegeben hast uninteressiert zu sein, woran könnte dies deiner Meinung nach liegen?","Über welche anderen Themen hättest du in Sozialkunde gerne ausführlicher gesprochen?","Bitte gib an, für welches dieser politischen Themen du dich allgemein interessierst.","Welche anderen Themen hattest du dir im Zusammenhang mit dem Sozialkundeunterricht an deiner Schule gewünscht? ","Denkst du, dass man das Interesse an Politik innerhalb der Klasse steigern könnte, wenn man auf persönliche Interessen der Schüler mehr eingehen würde?","Fühlst du dich auf deine politische Aktivität (z.B. wählen gehen) in Zukunft durch den Politikunterricht in der Schule gut vorbereitet?","Falls nein, bitte gib an, woran es liegen könnte, dass du dich unvorbereitet fühlst.","Denkst du, dass es bei deiner zukünftigen Wahlentscheidung nötig sein wird, sich über das politische System Deutschlands erneut zu informieren? (Trotz des Sozialkundeunterrichts)","Denkst du, dass der Politikunterricht an deiner Schule dein Interesse an Politik gestärkt hat?"
"2022/06/21 12:34:15 PM OEZ","Männlich","5","4","3","4","4","4","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Fertigt Gesetze aus","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Vorsitz der Bundesregierung","Kontrolle der Regierung;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Betrifft alle ","Ja, eher interessiert","Habe ich nicht ","Keins ","Verfassung der BRD;Kriege und Konflikte;Das Entstehen einer Diktatur","Diktatur ","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","——","Nein, eher nicht","Neutral"
"2022/06/21 12:35:56 PM OEZ","Männlich","3","4","3","2","4","2","4","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesversammlung","Der Bundestag","Frank-Walter Steinmeier","Fertigt Gesetze aus","Höchstes Gericht in Deutschland","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Entscheidung über Bundeshaushalt;Wahl des Bundeskanzlers","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Weil ich dadurch meine Rechte kenne","Neutral","","","Wahlen in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","","Vielleicht","Ja, Ich fühle mich sehr gut vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/21 12:35:58 PM OEZ","Weiblich","2","2","1","1","2","3","4","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","5 Jahre","Bundesverfassungsgericht;Bundesversammlung","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Prüft Gesetze auf potentielle Verfassungswidrigkeit","Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Entscheidung über Bundeshaushalt;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Weil es auch um meine rechte und Freiheiten geht ","Neutral","","","Kriege und Konflikte","","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Nein, eher nicht"
"2022/06/21 12:36:00 PM OEZ","Weiblich","3","4","2","2","3","4","2","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler","Höchstes Gericht in Deutschland;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Gesetzesinitative;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,- Kollegial,- Ressortprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Kriege und Konflikte;Globalisierung","Kriege und Konflikte","Weil es aktuell ist","Ja, eher interessiert","Unterrichtsgestaltung zu monoton","Über die einzelnen Parteien ","Wahlen in Deutschland;Kriege und Konflikte","","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","","Ja, definitiv","Ja, eher gesteigert"
"2022/06/21 12:36:42 PM OEZ","Weiblich","3","5","4","3","3","4","1","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundeskanzler","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Löst den Bundestag auf","Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen;Vorsitz der Bundesregierung","Kontrolle der Regierung;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Abwahl des Bundeskanzlers","Kanzler,- Kollegial,- Ressortprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Kriege und Konflikte","Kriege und Konflikte","Einfsch alles an diesem thema","Ja, eher interessiert","Unterrichtsinhalte zu theoretisch","","Wahlen in Deutschland;Politische Parteien in Deutschland","","Ja, definitiv","Nein, Ich fühle mich eher unvorbereitet","","Ja, wahrscheinlich","Ja, definitiv"
"2022/06/21 12:36:47 PM OEZ","Männlich","2","4","2","1","1","2","4","4","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesregierung;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Zur Hälfte vom Bundesrat und zur anderen Hälfte vom Bundestag, jeweils mit 2/3 Mehrheit, auf 12 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Ernennen der Bundesminister","Gesetzesinitative;Wahl des Bundeskanzlers","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Weil ich mich für Recht interessiere","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","—","Verfassung der BRD;Das Entstehen einer Diktatur","—","Eher ja","Ja, Ich fühle mich sehr gut vorbereitet","","Nein, eher nicht","Nein, eher nicht"
"2022/06/21 12:36:50 PM OEZ","Weiblich","1","2","2","1","1","1","3","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundeskanzler;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundesrat mit 2/3 Mehrheit auf 6 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundesrat","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts","Höchstes Gericht in Deutschland","Vorsitz des Bundestages;Ernennen der Bundesminister","Kontrolle der Regierung;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Weil es so ist :)","Neutral","","Passt so wie es ist ","Wahlen in Deutschland;Kriege und Konflikte","Passt so ","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Neutral"
"2022/06/21 12:37:01 PM OEZ","Weiblich","4","4","4","4","4","3","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundesverfassungsgericht;Bundeskanzler;Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Fertigt Gesetze aus","Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen","Gesetzesinitative;Wahl des Bundespräsidenten;Wahl des Bundeskanzlers","Gesetzesinitiative","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?)","Es hilft, erst dad allgemeine zu verstehen","Ja, eher interessiert","","","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte","","Vielleicht","Ja, Ich fühle mich sehr gut vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
"2022/06/21 12:37:02 PM OEZ","Weiblich","1","4","1","2","1","5","1","1","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundespräsident","4 Jahre","Bundespräsident;Bundesverfassungsgericht;Bundestag;Bundesrat","Sie ernennen die Kabinettsmitglieder des Bundsrates","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Die Bundesbürger per Direktwahl","Der Bundestag","Olaf Scholz","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Ernennt den Bundeskanzler;Löst den Bundestag auf","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit;Maßstab bei der Rechtssprechung ist das Grundgesetz","Vorsitz des Bundestages;Gegenzeichnung von Gesetzen","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundespräsidenten","Mitwirken in auswärtigen Angelegenheiten","Kanzler,-Zentral,-Abgeordnetenprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD","Grundgesetz der BRD","Weil es einen Einfluss auf mein Leben hat ","Nein, eher uninteressiert","Ich bin allgemein uninteressiert an Politik","","Das Entstehen einer Diktatur","","Vielleicht","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, definitiv","Nein, eher nicht"
"2022/06/21 12:37:31 PM OEZ","Männlich","4","3","3","3","4","5","2","5","Jeder volljährige Bürger mit einer deutschen Staatsbürgerschaft","Der Bundeskanzler","4 Jahre","Bundestag;Bundesrat","Sie ernennen den Präsidenten des Bundesverfassungsgerichtes","Vom Bundestag mit 50% Mehrheit auf 4 Jahre","Angela Merkel","Der Bundestag","Der Bundesrat","Frank-Walter Steinmeier","Ernennt/ Entlässt Richter des Bundesverfassungsgerichts;Vorschlagen der Bundesminister","Höchstes Gericht in Deutschland;Prüft Gesetze auf potentielle Verfassungswidrigkeit","Vorsitz der Bundesregierung;Ernennen der Bundesminister","Gesetzesinitative;Kontrolle der Regierung;Wahl des Bundespräsidenten","Gesetzesinitiative;Mitwirken in auswärtigen Angelegenheiten","Präsident,-Kollegial,-Kabinettsprinzip","Demokratie und Politik allgemein (z.B. Was hat Politik mit Schule zu tun?);Grundgesetz der BRD;Gesellschaft im Wandel: Von der DDR zu den neuen Bundesländern;Kriege und Konflikte","Grundgesetz der BRD","Es betrifft mich in sehr vielen Fällen auf mein Leben und das Leben anderer","Ja, eher interessiert","","-","Wahlen in Deutschland;Politische Parteien in Deutschland;Kriege und Konflikte;Das Entstehen einer Diktatur","Keine Speziell","Ja, definitiv","Ja, Ich fühle mich ausreichend vorbereitet","","Ja, wahrscheinlich","Ja, eher gesteigert"
